added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
7/21/26,1115678689347557376,Baseball,402,Mike Greenwell,Boston Red Sox,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678689347557376-1-45LM.jpg,https://storage.googleapis.com/collx-product-images/1115678689347557376-2-kEeJ.jpg,1.25,1.5,,,J&M Cards,,1
7/21/26,1115678692988213248,Baseball,38,Paul Runge,Atlanta Braves,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678692988213248-1-6AxT.jpg,https://storage.googleapis.com/collx-product-images/1115678692988213248-2-3lIe.jpg,1.45,1.5,,,J&M Cards,,1
7/21/26,1115678680128477184,Baseball,465,Mark Grace,Chicago Cubs,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678680128477184-1-EM2c.jpg,https://storage.googleapis.com/collx-product-images/1115678680128477184-2-oeej.jpg,0.35,0.5,,,J&M Cards,,1
7/21/26,1115678684884817920,Baseball,505,Pete Rose,Cincinnati Reds,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678684884817920-1-auNA.jpg,https://storage.googleapis.com/collx-product-images/1115678684884817920-2-ZMs.jpg,1.27,1.5,,,J&M Cards,,1
7/21/26,1115678671303661568,Baseball,115,Jody Davis,Atlanta Braves,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678671303661568-1-vfh.jpg,https://storage.googleapis.com/collx-product-images/1115678671303661568-2-8Svl.jpg,1.49,1.5,,,J&M Cards,,1
7/21/26,1115678675665737728,Baseball,465,Mark Grace,Chicago Cubs,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678675665737728-1-UDR8.jpg,https://storage.googleapis.com/collx-product-images/1115678675665737728-2-HGuT.jpg,0.35,0.5,,,J&M Cards,,1
7/21/26,1115678662696949760,Baseball,297,Oswald Peraza,Baltimore Orioles,1989,Topps,1989 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115678662696949760-1-TJ1.jpg,https://storage.googleapis.com/collx-product-images/1115678662696949760-2-iGAj.jpg,0.05,0.25,,,J&M Cards,,1
7/21/26,1115678667268741120,Baseball,521,Mickey Tettleton,Baltimore Orioles,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678667268741120-1-LFm7.jpg,https://storage.googleapis.com/collx-product-images/1115678667268741120-2-ppPy.jpg,1.59,1.5,,,J&M Cards,,1
7/21/26,1115678658544588800,Baseball,381,Orioles Leaders,Baltimore Orioles,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678658544588800-1-0OAk.jpg,https://storage.googleapis.com/collx-product-images/1115678658544588800-2-yddJ.jpg,0.66,0.5,,,J&M Cards,,1
7/21/26,1115678649585555456,Baseball,454,Paul Assenmacher,Atlanta Braves,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678649585555456-1-sIUN.jpg,https://storage.googleapis.com/collx-product-images/1115678649585555456-2-IkN.jpg,1.20,1,,,J&M Cards,,1
7/21/26,1115678654132180992,Baseball,621,Rick Mahler,Atlanta Braves,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678654132180992-1-KwJE.jpg,https://storage.googleapis.com/collx-product-images/1115678654132180992-2-VVI7.jpg,1.99,2,,,J&M Cards,,1
7/21/26,1115678641012398080,Baseball,469,Jose Bautista,Baltimore Orioles,1989,Topps,1989 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115678641012398080-1-YBHJ.jpg,https://storage.googleapis.com/collx-product-images/1115678641012398080-2-PCTr.jpg,1.49,1.5,,,J&M Cards,,1
7/21/26,1115678645634521088,Baseball,546,Mark Williamson,Baltimore Orioles,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678645634521088-1-10UJ.jpg,https://storage.googleapis.com/collx-product-images/1115678645634521088-2-yS19.jpg,1.08,1,,,J&M Cards,,1
7/21/26,1115678632875448320,Baseball,398,Julio Franco,Cleveland Indians,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115678632875448320-1-2Amp.jpg,https://storage.googleapis.com/collx-product-images/1115678632875448320-2-RrW.jpg,0.99,1,,,J&M Cards,,1
7/21/26,1115678637128472576,Baseball,222,Mark Lewis,Cleveland Indians,1989,Topps,1989 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115678637128472576-1-eMGa.jpg,https://storage.googleapis.com/collx-product-images/1115678637128472576-2-X9iR.jpg,1.29,1.5,,,J&M Cards,,1
7/21/26,1115678573039507456,Baseball,161,Gregg Olson,Baltimore Orioles,1989,Topps,1989 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115678573039507456-1-LHtY.jpg,https://storage.googleapis.com/collx-product-images/1115678573039507456-2-Ky4N.jpg,0.99,1,,,J&M Cards,"UER: Birthplace ""Scribner, NEB"", should be ""Omaha, NEB""; ",1
